,MAGLIE,CAMICIE,GONNE,PANTALONI,VESTITI,GIACCHE
2017-03-31,9,16,1,18,7,6
2017-04-01,42,32,3,23,26,22
2017-04-02,35,41,8,22,39,26
2017-04-03,19,10,1,16,7,9
2017-04-04,19,6,3,6,8,4
2017-04-05,10,16,2,11,14,7
2017-04-06,10,14,4,9,9,7
2017-04-07,10,13,1,7,10,11
2017-04-08,23,32,7,18,20,19
2017-04-09,36,32,6,17,33,35
2017-04-10,27,17,0,13,11,15
2017-04-11,9,6,0,7,11,9
2017-04-12,15,24,2,20,4,12
2017-04-13,16,18,2,18,13,7
2017-04-14,27,26,3,16,21,17
2017-04-15,21,33,1,22,26,16
2017-04-16,0,0,0,0,0,0
2017-04-17,30,36,13,20,21,18
2017-04-18,16,18,1,16,29,13
2017-04-19,13,13,1,12,12,11
2017-04-20,12,9,0,16,7,8
2017-04-21,6,14,2,11,13,8
2017-04-22,21,34,3,24,23,18
2017-04-23,27,23,3,14,22,11
2017-04-24,29,47,1,38,28,27
2017-04-25,36,54,2,44,32,32
2017-04-26,12,18,0,14,10,7
2017-04-27,7,16,0,5,5,5
2017-04-28,20,16,0,9,16,11
2017-04-29,19,32,3,26,27,16
2017-04-30,42,43,3,35,20,15
2017-05-01,35,54,7,23,30,16
2017-05-02,10,12,0,5,1,4
2017-05-03,12,13,2,15,8,6
2017-05-04,14,9,1,4,12,7
2017-05-05,27,28,2,21,8,8
2017-05-06,40,31,6,20,29,19
2017-05-07,40,52,3,39,43,25
2017-05-08,17,19,2,15,11,5
2017-05-09,10,15,0,16,18,11
2017-05-10,19,14,0,10,21,5
2017-05-11,4,12,0,17,8,7
2017-05-12,23,32,0,26,20,12
2017-05-13,32,50,1,24,22,8
2017-05-14,32,36,4,23,25,13
2017-05-15,9,14,0,14,10,7
2017-05-16,11,18,1,28,7,12
2017-05-17,21,20,2,16,17,1
2017-05-18,18,13,1,15,11,4
2017-05-19,21,25,1,30,23,10
2017-05-20,41,41,1,33,35,8
2017-05-21,28,36,5,29,22,12
2017-05-22,12,24,0,19,7,6
2017-05-23,13,26,2,16,7,3
2017-05-24,18,24,3,25,15,4
2017-05-25,12,26,2,19,20,4
2017-05-26,27,25,5,39,24,3
2017-05-27,23,40,4,34,34,10
2017-05-28,28,25,1,53,32,2
2017-05-29,12,17,3,23,11,1
2017-05-30,21,11,4,12,15,0
2017-05-31,13,24,4,19,20,2
2017-06-01,24,25,4,36,18,2
2017-06-02,43,56,6,68,42,7
2017-06-03,31,52,9,74,37,5
2017-06-04,38,43,7,37,49,6
2017-06-05,25,36,7,35,24,12
2017-06-06,4,14,1,16,8,3
2017-06-07,13,19,4,18,16,0
2017-06-08,14,29,3,30,12,2
2017-06-09,12,19,9,22,15,0
2017-06-10,28,31,7,44,30,3
2017-06-11,13,35,7,43,19,5
2017-06-12,8,23,3,34,16,0
2017-06-13,7,17,1,16,13,4
2017-06-14,21,17,2,26,8,2
2017-06-15,6,19,4,21,20,0
2017-06-16,23,25,4,20,14,2
2017-06-17,36,34,6,47,23,4
2017-06-18,29,49,6,36,30,1
2017-06-19,6,18,4,13,19,0
2017-06-20,5,9,1,16,9,0
2017-06-21,13,22,1,18,7,1
2017-06-22,2,18,0,18,10,0
2017-06-23,2,3,0,2,2,0
2017-06-24,0,4,0,1,0,0
2017-06-25,1,4,0,2,1,0
2017-06-26,0,0,0,0,0,0
2017-06-27,0,2,0,1,0,0
2017-06-28,0,1,0,2,0,0
2017-06-29,1,0,0,2,1,0
2017-06-30,0,0,0,0,0,0
2017-07-01,5,27,0,17,19,0
2017-07-02,12,12,0,7,6,1
2017-07-03,7,11,0,3,10,0
2017-07-04,8,17,0,10,12,1
2017-07-05,7,17,0,7,3,0
2017-07-06,8,16,0,11,11,1
2017-07-07,2,7,0,4,11,0
2017-07-08,10,16,0,9,17,0
2017-07-09,5,31,0,26,19,1
2017-07-10,9,9,0,15,8,0
2017-07-11,6,10,0,5,12,2
2017-07-12,13,13,0,7,19,1
2017-07-13,9,14,0,17,16,1
2017-07-14,8,8,0,7,14,0
2017-07-15,9,15,0,16,18,1
2017-07-16,10,19,0,26,33,2
2017-07-17,13,17,0,10,13,0
2017-07-18,7,15,0,11,15,0
2017-07-19,5,9,0,11,19,3
2017-07-20,8,15,0,6,11,0
2017-07-21,3,13,0,10,11,0
2017-07-22,9,27,0,15,27,2
2017-07-23,7,17,0,24,24,1
2017-07-24,13,15,0,12,13,5
2017-07-25,7,10,0,6,11,2
2017-07-26,4,20,0,6,26,4
2017-07-27,9,19,0,12,13,2
2017-07-28,5,15,0,6,21,1
2017-07-29,16,19,0,14,36,2
2017-07-30,16,38,0,18,42,2
2017-07-31,3,16,0,8,23,1
2017-08-01,6,19,0,8,19,2
2017-08-02,7,14,0,5,18,0
2017-08-03,5,10,0,13,22,0
2017-08-04,5,12,0,6,18,0
2017-08-05,10,30,0,19,36,7
2017-08-06,12,28,0,18,34,2
2017-08-07,4,18,0,13,14,2
2017-08-08,11,19,0,18,16,4
2017-08-09,10,24,0,11,24,1
2017-08-10,9,20,0,11,17,1
2017-08-11,14,26,0,15,22,1
2017-08-12,12,27,0,11,11,1
2017-08-13,5,13,0,8,14,2
2017-08-14,19,18,0,16,17,3
2017-08-15,4,7,0,3,2,0
2017-08-16,13,21,0,8,14,2
2017-08-17,7,13,1,10,14,2
2017-08-18,9,15,0,15,19,1
2017-08-19,11,25,0,19,12,5
2017-08-20,6,18,0,8,15,5
2017-08-21,11,19,0,10,6,2
2017-08-22,10,18,2,14,20,4
2017-08-23,10,14,0,2,11,4
2017-08-24,8,9,0,5,11,4
2017-08-25,9,5,0,6,13,4
2017-08-26,8,21,1,9,16,2
2017-08-27,16,17,0,17,23,4
2017-08-28,12,9,0,8,10,3
2017-08-29,8,12,1,9,11,2
2017-08-30,11,10,1,21,22,15
2017-08-31,10,17,5,5,20,2
2017-09-01,20,26,0,16,15,4
2017-09-02,43,30,1,18,29,13
